alert_id,opportunity_id,change_type,severity,actionable,supplier_profile,match_score,match_band,title,buyer,country_or_scope,source,previous_value,current_value,status,reason,notice_url,source_health,observed_at
alert_42bdbf4fb15d333b_engineering,canadabuys:ws5760577662-doc5775273688,CLASSIFICATION_CHANGED,MEDIUM,yes,engineering,75,GOOD,"W7701-268130 Development, design, and characterization of electro-optical tools",Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:81141901,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110018035?anId=ANONYMOUS,HEALTHY,
alert_42bdbf4fb15d333b_infrastructure,canadabuys:ws5760577662-doc5775273688,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,"W7701-268130 Development, design, and characterization of electro-optical tools",Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:81141901,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110018035?anId=ANONYMOUS,HEALTHY,
alert_4323f6b7eb7e39d2_manufacturer,canadabuys:cb-484-15329273,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,Request for Information (RFI) - Aircraft Arresting System (AAS) Maintenance and Operations at Forward Operating Locations (FOLs),Department of National Defence (DND),Canada,canadabuys,,UNSPSC:25130000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_43b5dcf6847dd178_logistics,canadabuys:cb-7678-41616716,CLASSIFICATION_CHANGED,MEDIUM,yes,logistics,75,GOOD,Request for Supply Arrangement - Vessel Charters,Department of Fisheries and Oceans (DFO),Canada,canadabuys,,"UNSPSC:78101701,UNSPSC:78142002,UNSPSC:78142003",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_43dc1f271d1b5d56_manufacturer,canadabuys:ws5806044503-doc5806196792,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,F7013-270002A - Gangway Design and Production,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:25111900,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110019813?anId=ANONYMOUS,HEALTHY,
alert_4461898b6aeb1dae_engineering,canadabuys:cb-189-58294946,CLASSIFICATION_CHANGED,MEDIUM,yes,engineering,75,GOOD,TBIPS - I.10. Technical Architects,Department of National Defence (DND),Canada,canadabuys,,UNSPSC:81160000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_4461898b6aeb1dae_infrastructure,canadabuys:cb-189-58294946,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,TBIPS - I.10. Technical Architects,Department of National Defence (DND),Canada,canadabuys,,UNSPSC:81160000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_44d35d03bedffdf4_manufacturer,canadabuys:cb-438-65683192,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,Sea Water Valves/Gasket,Department of National Defence (DND),Canada,canadabuys,,"UNSPSC:31400000,UNSPSC:40141600",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_458867b427662106_manufacturer,canadabuys:cb-259-74391308,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,E60HN-16ELEC – Stream 2 - Oscilloscope and multimeters (Atlantic),Department of National Defence (DND),Canada,canadabuys,,UNSPSC:32130000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_458f7d981cdc1bf4_construction,canadabuys:ws5276433607-doc5328239563,CLASSIFICATION_CHANGED,MEDIUM,yes,construction,75,GOOD,"Phase 2-ITT-EW038-260491 AAFC Exterior Envelope Upgrade Admin Building, Beaverlodge AB",Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:30150000,UNSPSC:30171600,UNSPSC:30171900",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_45c9966ee6e5656e_healthcare,canadabuys:cb-8499-40772047,CLASSIFICATION_CHANGED,MEDIUM,yes,healthcare,75,GOOD,Task professional services (TSPS),Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:80100000,UNSPSC:80160000,UNSPSC:85101600,UNSPSC:85101700",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
